index,thickness,intensity,digit
0,2.2673757,145.269,7.0
1,3.2086186,229.09312,2.0
2,2.9266238,191.09865,1.0
3,2.602468,134.27042,0.0
4,2.6118739,124.75302,4.0
5,2.7481873,169.86557,1.0
6,3.9670238,243.42421,4.0
7,2.274238,121.70919,9.0
8,2.112816,103.30275,5.0
9,3.575687,226.01262,9.0
10,2.1956968,105.64374,0.0
11,3.3157773,223.2632,6.0
12,2.9447083,189.03122,9.0
13,3.632892,242.2603,0.0
14,3.511247,223.5301,1.0
15,3.146798,215.69023,5.0
16,2.2441509,127.599014,9.0
17,1.9850459,103.87755,7.0
18,2.447785,116.930435,3.0
19,2.4949822,133.49014,4.0
20,1.5686895,90.98499,9.0
21,2.9808774,189.59213,6.0
22,3.019344,205.9497,6.0
23,1.6816409,112.61929,5.0
24,2.0056744,122.38548,4.0
25,2.306978,162.87416,0.0
26,2.5021217,175.02821,7.0
27,3.381744,216.67838,4.0
28,2.7623684,205.39868,0.0
29,2.1588445,161.63425,1.0
30,1.4531327,101.3557,3.0
31,3.2868595,217.7907,1.0
32,1.7369993,133.83975,3.0
33,2.1665843,138.93214,4.0
34,1.9845929,112.14717,7.0
35,2.5477767,122.86253,2.0
36,2.8865564,190.21315,7.0
37,2.2291188,139.14005,1.0
38,3.239295,230.37546,2.0
39,2.0487282,133.75041,1.0
40,2.6465335,156.61505,1.0
41,2.0909898,116.943115,7.0
42,2.5802891,142.01439,4.0
43,2.6023927,185.4331,2.0
44,2.3954034,146.0748,3.0
45,3.50733,239.54323,5.0
46,2.4135566,138.0409,1.0
47,1.2688905,98.93027,2.0
48,1.9364803,140.81815,4.0
49,2.6095722,189.84763,4.0
50,1.9471502,126.02113,6.0
51,1.710875,106.79206,3.0
52,3.145038,184.65063,5.0
53,2.909958,221.41014,5.0
54,2.427731,135.36215,6.0
55,2.6117015,172.37921,0.0
56,2.0775468,157.86493,4.0
57,2.1031141,115.31748,1.0
58,1.7218287,122.004196,9.0
59,2.7981696,210.95705,5.0
60,2.862187,194.7292,7.0
61,3.0382202,207.40799,8.0
62,1.6253458,99.12088,9.0
63,2.3943875,130.47131,3.0
64,2.0364025,96.311905,7.0
65,1.8539282,85.34467,4.0
66,2.2991493,179.94786,6.0
67,2.5008261,175.13293,4.0
68,2.358411,146.60893,3.0
69,2.206313,132.08783,0.0
70,2.0772445,141.7496,7.0
71,3.366714,231.58981,0.0
72,2.4531004,157.10654,2.0
73,2.9243326,190.89354,9.0
74,2.2341926,125.05069,1.0
75,2.6363804,183.12085,7.0
76,1.5988505,118.33134,3.0
77,1.9967797,118.58586,2.0
78,1.8076907,99.08919,9.0
79,2.3315024,161.56421,7.0
80,2.4991834,175.56711,7.0
81,3.1358562,232.21307,6.0
82,3.0674736,218.18842,2.0
83,3.0363507,191.88205,7.0
84,2.6981902,177.27032,8.0
85,2.2884114,155.52895,4.0
86,2.8621264,215.73434,7.0
87,2.9721916,184.77246,3.0
88,1.704276,114.31651,6.0
89,3.8123066,242.98073,1.0
90,2.6129804,176.12265,3.0
91,2.1094875,166.17642,6.0
92,1.6699878,95.552246,9.0
93,1.9285647,82.57107,3.0
94,1.9792948,99.29985,1.0
95,2.4722667,156.77933,4.0
96,2.2839365,158.0548,1.0
97,2.4767509,149.31363,7.0
98,1.8018615,126.89961,6.0
99,1.8415756,115.27343,9.0
100,2.0769541,125.36293,6.0
101,2.7043903,201.22514,0.0
102,3.0324602,186.27078,5.0
103,2.3139277,150.88191,4.0
104,2.6452563,183.8222,9.0
105,1.9682902,141.53949,9.0
106,2.375388,127.916504,2.0
107,2.5387733,144.44678,1.0
108,3.7038586,249.25627,9.0
109,2.2073188,153.06522,4.0
110,2.1279225,115.270645,8.0
111,2.4975402,162.62094,7.0
112,3.546432,237.91061,3.0
113,3.2684703,206.00992,9.0
114,2.0161164,104.054306,7.0
115,1.7505124,104.23308,4.0
116,2.2832613,179.72171,4.0
117,3.1394272,212.98482,4.0
118,1.5518419,86.31007,9.0
119,1.8881845,130.73328,2.0
120,2.6360326,177.07053,5.0
121,1.9592526,113.85046,4.0
122,2.6667447,176.0632,7.0
123,2.600924,157.38364,6.0
124,2.780024,188.61682,7.0
125,2.9626153,201.06393,9.0
126,2.6458051,193.47693,0.0
127,2.6495178,156.56624,5.0
128,1.3498305,77.148186,8.0
129,3.0577023,203.8353,5.0
130,2.6984544,230.40785,6.0
131,2.7537844,219.01633,6.0
132,1.8769181,91.41308,5.0
133,2.345368,158.77866,7.0
134,3.0831773,201.67374,8.0
135,3.638596,227.37868,1.0
136,1.4238127,83.19237,0.0
137,1.9850644,90.57391,1.0
138,2.5225751,174.82224,6.0
139,2.8191123,212.84056,4.0
140,2.8809364,170.05603,6.0
141,2.2801802,161.53482,7.0
142,2.244582,130.01987,3.0
143,1.6534855,91.1864,1.0
144,2.477763,133.14174,7.0
145,2.2678912,101.513016,1.0
146,2.9031637,219.909,8.0
147,2.0109127,117.92179,2.0
148,2.1722362,126.94238,0.0
149,3.3318057,204.41982,2.0
150,2.41961,130.01996,9.0
151,1.9165206,132.18385,9.0
152,2.2280343,99.201706,5.0
153,2.3766866,161.7127,5.0
154,1.9627783,110.921104,1.0
155,2.1250174,94.872696,5.0
156,1.6925597,111.294815,6.0
157,2.6036987,164.49945,0.0
158,2.1434913,134.89615,3.0
159,1.6968777,90.880516,4.0
160,1.758213,113.8715,4.0
161,2.5706875,148.22816,6.0
162,1.9412643,154.92654,5.0
163,2.9285798,193.68031,4.0
164,4.009933,249.08939,6.0
165,2.312398,175.03609,5.0
166,2.6072614,175.92001,4.0
167,2.9214072,150.66196,5.0
168,3.2028751,233.35751,1.0
169,1.7936461,100.34071,4.0
170,2.5710595,181.95518,4.0
171,3.0139384,204.11275,7.0
172,2.5577772,164.88269,2.0
173,2.4753385,141.77094,3.0
174,1.4102862,76.78978,2.0
175,2.4595344,165.88042,7.0
176,2.1212752,145.1033,1.0
177,2.1039338,131.75093,8.0
178,1.7850652,99.27373,1.0
179,3.6297977,228.22298,8.0
180,3.3826556,222.78508,1.0
181,3.75163,240.60196,8.0
182,3.2521589,227.5131,5.0
183,2.5075502,127.45083,0.0
184,2.312299,143.43256,8.0
185,1.9887502,116.65382,9.0
186,2.4038682,161.00677,2.0
187,1.9933028,111.08122,5.0
188,2.9759183,195.29956,0.0
189,2.9467802,185.9161,1.0
190,2.0525117,119.772934,1.0
191,2.2689786,130.3057,1.0
192,1.9806349,113.36229,0.0
193,2.3537436,110.55376,9.0
194,2.05708,126.3394,0.0
195,3.6734147,243.77876,3.0
196,3.0444589,224.08107,1.0
197,1.7531065,91.46775,6.0
198,2.934497,204.33833,4.0
199,1.6474679,97.870865,2.0
200,2.275401,125.63819,3.0
201,2.0138526,135.3632,6.0
202,1.6583077,90.04986,1.0
203,2.5476542,128.03873,1.0
204,2.3399062,169.13698,1.0
205,2.5966728,144.20627,3.0
206,1.2474506,77.817726,9.0
207,3.6959252,238.81898,5.0
208,2.056226,144.87396,2.0
209,2.6221807,192.54466,9.0
210,1.9289778,106.37317,4.0
211,3.545443,236.98416,5.0
212,1.3725547,84.1521,9.0
213,2.4111638,119.88483,3.0
214,1.6691542,80.545975,9.0
215,1.9290047,87.415436,0.0
216,2.0835285,120.36631,3.0
217,2.8285248,161.2527,6.0
218,2.4400897,158.95071,5.0
219,2.1871903,135.86086,5.0
220,2.3470545,177.68353,7.0
221,3.083964,214.05542,2.0
222,2.4475062,175.59216,2.0
223,2.4460816,143.14096,7.0
224,2.7614715,165.73642,1.0
225,3.834406,247.81685,2.0
226,2.3982882,139.46878,8.0
227,2.0167418,124.29111,4.0
228,2.5287962,131.52242,1.0
229,2.340773,142.91116,7.0
230,2.2410572,194.73123,3.0
231,3.0321121,209.73636,3.0
232,1.9363112,88.175026,8.0
233,3.0728986,186.75685,8.0
234,1.9807231,109.70126,7.0
235,3.0794568,220.60147,9.0
236,3.9514472,244.66722,2.0
237,2.384793,142.34866,2.0
238,3.9207902,241.02686,4.0
239,2.6768696,137.11432,1.0
240,2.5292673,204.52466,5.0
241,1.7953136,119.93915,9.0
242,2.1173315,140.04306,8.0
243,2.9216342,198.98245,7.0
244,2.287512,129.87679,2.0
245,2.4816294,166.95055,3.0
