index,thickness,intensity,digit
0,2.3989508,162.27393,5.0
1,2.7890062,171.67532,0.0
2,2.6551542,206.75359,4.0
3,2.8526106,210.8523,1.0
4,1.7508984,119.96817,9.0
5,3.1103692,209.586,2.0
6,2.44396,135.59232,1.0
7,3.003154,159.60297,3.0
8,1.9581063,114.869576,1.0
9,3.150176,186.475,4.0
10,2.5518005,128.55643,3.0
11,2.5943823,179.97618,5.0
12,1.6577351,74.458435,3.0
13,2.759717,187.54712,6.0
14,2.656139,141.64392,1.0
15,3.2505343,225.61163,7.0
16,3.4444008,243.83775,2.0
17,3.399624,212.26868,8.0
18,2.8394685,180.20166,6.0
19,2.3434417,150.98961,9.0
20,4.3787704,248.28076,4.0
21,2.0462432,127.64783,0.0
22,2.3909254,110.52117,9.0
23,3.4493535,219.60437,1.0
24,3.1936936,220.80634,1.0
25,2.895636,195.09787,2.0
26,1.982787,99.5992,4.0
27,3.4228091,200.28502,3.0
28,3.693665,238.30917,2.0
29,2.7241142,176.6477,7.0
30,2.188006,172.24727,3.0
31,2.0317762,139.43051,8.0
32,2.5615861,166.7506,6.0
33,1.4280438,85.82691,9.0
34,2.7692313,141.99608,0.0
35,2.604312,168.07199,5.0
36,1.8629017,118.61049,6.0
37,2.2374282,141.78271,0.0
38,4.5340276,246.2666,7.0
39,2.4790816,120.35404,6.0
40,2.2143054,133.93127,1.0
41,2.8259356,181.8381,8.0
42,2.4673269,154.0412,7.0
43,3.6850042,236.23305,9.0
44,1.9160831,100.69588,3.0
45,3.0392315,206.47781,9.0
46,2.8122768,154.7807,8.0
47,1.8319153,118.23837,5.0
48,1.7036366,102.270386,9.0
49,1.8516643,90.689064,3.0
50,2.4696848,185.41162,3.0
51,2.9863424,193.22964,0.0
52,3.525693,240.19833,7.0
53,2.2503552,146.40237,4.0
54,2.0236816,127.39115,9.0
55,2.7994459,186.96373,8.0
56,2.660141,130.73967,0.0
57,1.4730365,80.3857,9.0
58,2.5459661,190.35535,4.0
59,2.959409,182.50641,1.0
60,2.3582284,148.47351,4.0
61,3.0273583,195.46597,4.0
62,2.5322745,128.62823,6.0
63,2.1720517,126.51709,0.0
64,2.651294,150.43234,4.0
65,3.3781943,239.8748,5.0
66,2.1772883,133.04324,6.0
67,2.342526,146.17355,1.0
68,2.5857933,168.0412,0.0
69,1.7099087,111.585335,0.0
70,2.1250672,139.65411,1.0
71,2.0899744,124.326164,7.0
72,1.6542137,108.290665,1.0
73,4.6588664,251.99399,6.0
74,2.6174076,170.85721,3.0
75,2.4145675,150.57553,0.0
76,2.2506225,135.77115,2.0
77,2.2835355,156.09521,1.0
78,1.6197476,95.74086,1.0
79,3.5487962,232.16583,7.0
80,3.1234982,206.30571,9.0
81,1.9711336,139.13724,0.0
82,3.159716,196.46426,2.0
